1577.0,1313.0,1917.0,1286.0,1566.0,1312.0,1739.0,990.0,1742.0,1310.0,1415.0,1136.0
1889.0,1146.0,1578.0,1310.0,1725.0,1282.0,1899.0,831.0,1901.0,831.0,1899.0,992.0
1901.0,991.0,1401.0,1143.0,1727.0,1144.0,1580.0,1145.0,1744.0,1144.0,1415.0,1306.0
1728.0,822.0,1580.0,824.0,1738.0,975.0,1582.0,815.0,1728.0,1304.0,1578.0,1304.0
1890.0,1148.0,1568.0,986.0,1738.0,1152.0,1736.0,1152.0,1417.0,983.0,1731.0,1150.0
1581.0,983.0,1729.0,982.0,1753.0,1326.0,1733.0,1152.0,1896.0,1317.0,1896.0,1301.0
1744.0,980.0,1574.0,812.0,1574.0,1150.0,1898.0,978.0,1901.0,1140.0,1573.0,1299.0
1414.0,1299.0,1735.0,1316.0,1893.0,978.0,1891.0,978.0,1567.0,977.0,1744.0,984.0
1732.0,816.0,1733.0,1138.0,1567.0,1149.0,1404.0,976.0,1730.0,1314.0,1237.0,1138.0
1898.0,1154.0,1734.0,975.0,1894.0,1139.0,1412.0,1148.0,1566.0,1140.0,1740.0,1137.0
