1921.0,918.0,1759.0,923.0,1774.0,923.0,1419.0,1227.0,1922.0,1241.0,1277.0,1085.0
1948.0,1224.0,1432.0,1241.0,1929.0,1078.0,1757.0,1220.0,1606.0,1075.0,1584.0,1229.0
1268.0,1240.0,1604.0,1237.0,1928.0,1239.0,1442.0,1251.0,1597.0,1084.0,1446.0,1238.0
1761.0,928.0,1766.0,1075.0,1769.0,929.0,1270.0,1076.0,1928.0,930.0,1606.0,1238.0
1764.0,1238.0,1771.0,1076.0,1762.0,1077.0,1919.0,1085.0,1929.0,1093.0,1927.0,771.0
1925.0,1077.0,1269.0,1078.0,1606.0,1089.0,1599.0,1088.0,1759.0,1083.0,1931.0,1078.0
1285.0,1079.0,1612.0,1079.0,1283.0,1080.0,1433.0,1080.0,1444.0,1088.0,1434.0,919.0
1773.0,1241.0,1599.0,925.0,1904.0,1267.0,1770.0,1238.0,1438.0,1072.0,1785.0,1264.0
1448.0,1085.0,1439.0,1087.0,1926.0,1255.0,1764.0,1090.0,1768.0,1254.0,1762.0,1089.0
1760.0,921.0,1602.0,1253.0,1604.0,1074.0,1440.0,1253.0,1610.0,1252.0,1610.0,1250.0
