955.0,651.0,956.0,658.0,793.0,674.0,636.0,683.0,636.0,685.0,634.0,688.0
464.0,690.0,640.0,707.0,444.0,719.0,446.0,721.0,1475.0,783.0,1150.0,804.0
968.0,821.0,811.0,824.0,806.0,825.0,976.0,825.0,814.0,830.0,801.0,835.0
815.0,835.0,648.0,848.0,483.0,862.0,1498.0,936.0,1330.0,962.0,1165.0,969.0
1149.0,973.0,986.0,977.0,997.0,983.0,997.0,985.0,814.0,1002.0,828.0,1002.0
651.0,1007.0,824.0,1007.0,644.0,1013.0,646.0,1017.0,652.0,1021.0,658.0,1021.0
480.0,1029.0,492.0,1034.0,1338.0,1131.0,856.0,1149.0,835.0,1176.0,671.0,1188.0
507.0,1195.0,1078.0,1261.0,1250.0,1271.0,846.0,1328.0,680.0,1359.0,682.0,1359.0
521.0,1363.0,516.0,1372.0,1193.0,1476.0,684.0,1493.0,864.0,1511.0,536.0,1532.0
522.0,1535.0,1583.0,1975.0,793.2000122070312,673.2000122070312,650.4000244140625,1006.800048828125,633.6000366210938,850.800048828125,828.0000610351562,1002.0000610351562
