1236.0,1140.0,1577.0,1313.0,1872.0,1163.0,1741.0,1312.0,1733.0,1140.0,1730.0,1303.0
1416.0,974.0,1731.0,978.0,1897.0,1157.0,1572.0,1302.0,1414.0,1138.0,1413.0,1308.0
1727.0,1307.0,1735.0,977.0,1413.0,1301.0,1563.0,1307.0,1889.0,1306.0,1403.0,978.0
1730.0,1153.0,1733.0,978.0,1738.0,992.0,1739.0,1140.0,1577.0,1306.0,1895.0,1304.0
1400.0,1143.0,1402.0,980.0,1566.0,980.0,1578.0,1143.0,1890.0,981.0,1892.0,981.0
1737.0,978.0,1898.0,981.0,1573.0,814.0,1250.0,1143.0,1400.0,1145.0,1743.0,1146.0
1743.0,983.0,1573.0,1153.0,1578.0,1147.0,1416.0,985.0,1731.0,818.0,1415.0,1140.0
1567.0,819.0,1726.0,1147.0,1728.0,985.0,1915.0,1289.0,1893.0,1142.0,1743.0,987.0
1899.0,822.0,1887.0,1149.0,1899.0,1142.0,1903.0,1149.0,1579.0,826.0,1405.0,1151.0
1567.0,1151.0,1411.0,1151.0,1898.0,995.0,1730.0,991.0,1739.0,1304.0,1414.0,1303.0
